City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
106,Brumado,BR,2022-09-26 22:25:30,-14.2036,-41.6653,76.48,57,12,4.97
107,Abu Zabad,SD,2022-09-26 22:25:30,12.35,29.25,76.75,67,100,7.85
108,Saldanha,ZA,2022-09-26 22:25:31,-33.0117,17.9442,50.05,85,7,5.97
109,Maldonado,UY,2022-09-26 22:25:31,-34.6667,-54.9167,59.23,96,87,4.52
110,Pangnirtung,CA,2022-09-26 22:25:32,66.1451,-65.7125,33.8,69,20,0.0
111,Sayyan,YE,2022-09-26 22:25:32,15.1718,44.3244,61.88,30,6,2.26
112,Hithadhoo,MV,2022-09-26 22:25:32,-0.6,73.0833,81.75,74,70,15.37
113,Meulaboh,ID,2022-09-26 22:25:33,4.1363,96.1285,74.95,88,94,3.4
114,Bara,NG,2022-09-26 22:25:33,10.3744,10.7288,74.66,86,36,6.15
115,Ikalamavony,MG,2022-09-26 22:25:34,-21.15,46.5833,61.2,83,7,5.66
116,Sabzevar,IR,2022-09-26 22:25:34,36.2126,57.6819,65.48,48,0,9.22
117,Ikovka,RU,2022-09-26 22:25:34,55.6089,64.9375,31.26,96,100,12.26
118,Rafaela,AR,2022-09-26 22:25:35,-31.2503,-61.4867,70.99,25,0,1.01
119,Bathsheba,BB,2022-09-26 22:23:52,13.2167,-59.5167,83.01,83,40,14.97
120,Cidreira,BR,2022-09-26 22:25:35,-30.1811,-50.2056,63.91,84,70,6.4
121,Utete,TZ,2022-09-26 22:25:36,-7.986,38.758,71.62,87,1,3.6
122,Isabela,PH,2022-09-26 22:21:28,6.7085,121.9711,77.05,87,44,3.76
123,Gavle,SE,2022-09-26 22:25:37,60.6745,17.1417,52.34,95,100,1.01
124,Vila Velha,BR,2022-09-26 22:24:03,-20.3297,-40.2925,73.35,85,75,9.22
125,Boende,CD,2022-09-26 22:25:37,-0.2167,20.8667,72.97,93,32,3.0
126,Almonte,ES,2022-09-26 22:25:38,37.2647,-6.5167,68.45,67,0,5.06
127,Bilma,NE,2022-09-26 22:25:38,18.6853,12.9164,91.8,12,2,4.12
128,Victoria,HK,2022-09-26 22:23:54,22.2855,114.1577,84.38,75,66,11.99
129,Jalu,LY,2022-09-26 22:21:19,29.0331,21.5482,80.6,40,0,7.58
130,Maniitsoq,GL,2022-09-26 22:25:39,65.4167,-52.9,45.16,92,100,16.33
131,Tabuk,PH,2022-09-26 22:25:39,17.4189,121.4443,74.07,93,88,2.68
132,Bull Savanna,JM,2022-09-26 22:25:40,17.8868,-77.5902,78.67,84,100,11.77
133,Tocopilla,CL,2022-09-26 22:25:40,-22.092,-70.1979,62.71,67,25,7.99
134,Havelock,US,2022-09-26 22:21:27,34.8791,-76.9013,80.56,80,15,1.01
135,Joinville,BR,2022-09-26 22:23:54,-26.3044,-48.8456,70.11,88,100,4.61
136,Isiro,CD,2022-09-26 22:25:41,2.7739,27.616,65.32,98,100,0.67
137,Gweta,BW,2022-09-26 22:25:41,-20.1833,25.2333,74.07,26,5,8.84
138,Congonhas,BR,2022-09-26 22:25:42,-20.4997,-43.8578,73.0,62,96,5.28
139,Mishkino,RU,2022-09-26 22:25:42,55.3389,63.9175,31.44,97,100,13.0
140,Bay Roberts,CA,2022-09-26 22:25:43,47.5999,-53.2648,61.52,82,100,11.74
141,Izhma,RU,2022-09-26 22:25:43,65.0083,53.9113,32.41,69,100,4.07
142,Uribia,CO,2022-09-26 22:25:43,11.7139,-72.266,88.54,55,99,11.25
143,Sisimiut,GL,2022-09-26 22:25:44,66.9395,-53.6735,45.73,91,100,4.0
144,Sfantu Gheorghe,RO,2022-09-26 22:25:44,45.8667,25.7833,57.27,95,100,0.43
145,Hofn,IS,2022-09-26 22:25:44,64.2539,-15.2082,40.64,51,99,24.02
146,Havre-Saint-Pierre,CA,2022-09-26 22:25:45,50.2334,-63.5986,53.96,94,100,10.36
147,Bonthe,SL,2022-09-26 22:25:45,7.5264,-12.505,73.92,90,95,2.66
148,Chateau-Thierry,FR,2022-09-26 22:25:46,49.05,3.4,52.0,89,70,10.2
149,Ribeira Grande,PT,2022-09-26 22:25:46,38.5167,-28.7,66.6,82,75,9.22
150,Phalodi,IN,2022-09-26 22:25:46,27.1333,72.3667,84.74,38,3,7.76
151,Nanortalik,GL,2022-09-26 22:25:47,60.1432,-45.2371,45.14,91,100,13.02
152,Los Llanos De Aridane,ES,2022-09-26 22:25:47,28.6585,-17.9182,68.13,84,75,17.0
