City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
83,Rincon,US,75.9,few clouds,32.296,-81.2354,Days Inn Rincon
84,Vila Franca Do Campo,PT,73.2,light rain,37.7167,-25.4333,Pestana Bahia Praia
96,Pietersburg,ZA,74.25,clear sky,-23.9045,29.4688,Fusion Boutique Hotel
105,Buenos Aires,AR,71.28,clear sky,-34.6132,-58.3772,Hotel NH Buenos Aires City
119,Gat,IL,78.4,clear sky,31.61,34.7642,OlusHome
121,Latur,IN,73.76,heavy intensity rain,18.4,76.5833,Hotel Shivneri Durvankur Lodge
122,Georgetown,MY,78.73,scattered clouds,5.4112,100.3354,Cititel Penang
125,Manta,EC,78.58,scattered clouds,-0.95,-80.7333,Balandra Hotel
127,Bayir,TR,70.32,clear sky,37.2687,28.2167,Hotel Babadag
139,Huntsville,US,78.13,clear sky,34.7304,-86.5861,Embassy Suites by Hilton Huntsville
140,Bengkulu,ID,76.59,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
145,Ilhabela,BR,70.5,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
151,Agadir,MA,73.85,overcast clouds,30.4202,-9.5982,Iberostar Founty Beach
155,Arraial Do Cabo,BR,73.26,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
156,Rocha,UY,70.41,scattered clouds,-34.4833,-54.3333,Hotel Arrarte
164,Faya,SA,72.12,broken clouds,18.3851,42.4509,شيلة نسايم
166,Bolobo,CD,77.76,light rain,-2.1667,16.2333,Hotel de Stephen
167,Mayumba,GA,76.57,overcast clouds,-3.432,10.6554,LIKWALE LODGE
170,Eyl,SO,78.42,broken clouds,7.9803,49.8164,EYL AQUE SYSTEM
175,Nushki,PK,74.1,clear sky,29.5542,66.0215,Shams hotel
177,Kindia,GN,78.01,light rain,10.0569,-12.8658,LES EAUX DE KILISSI
179,Sylacauga,US,78.89,overcast clouds,33.1732,-86.2516,"Holiday Inn Express & Suites Sylacauga, an IHG Hotel"
184,Saint Anthony,US,72.66,few clouds,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
