City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
184,Saint Anthony,US,45.0205,-93.218,72.66,65,20,8.05,few clouds
185,Rio Grande,BR,-32.035,-52.0986,73.51,68,1,17.02,clear sky
186,Brae,GB,60.3964,-1.353,51.22,74,34,28.41,scattered clouds
187,Santa Fe,AR,-31.6333,-60.7,81.01,38,90,7.0,overcast clouds
188,Mega,ET,4.05,38.3,67.15,55,97,11.56,overcast clouds
189,Biltine,TD,14.5333,20.9167,94.17,18,80,3.58,broken clouds
190,Nurota,UZ,40.5614,65.6886,54.21,27,0,11.3,clear sky
191,Praia,CV,14.9215,-23.5087,84.74,70,75,6.91,broken clouds
192,Hammerfest,NO,70.6634,23.6821,45.05,81,75,6.91,broken clouds
193,Sisimiut,GL,66.9395,-53.6735,32.85,67,16,5.12,few clouds
194,Inverness,GB,57.4791,-4.224,53.51,74,20,18.41,few clouds
195,Sabang,ID,5.8933,95.3214,78.94,83,100,14.07,light rain
196,Fort-Shevchenko,KZ,44.5086,50.263,67.6,56,49,8.32,scattered clouds
197,Ostrovnoy,RU,68.0531,39.5131,47.25,92,98,13.49,overcast clouds
198,Richards Bay,ZA,-28.783,32.0377,73.2,83,50,5.44,scattered clouds
199,Sargatskoye,RU,55.6101,73.4972,46.89,53,99,9.01,overcast clouds
200,Labytnangi,RU,66.6572,66.4183,37.17,90,73,4.43,broken clouds
201,Bongandanga,CD,1.5,21.05,71.04,96,99,4.99,light rain
202,Talcahuano,CL,-36.7167,-73.1167,56.88,72,75,6.91,broken clouds
203,Itarema,BR,-2.9248,-39.9167,85.06,59,19,20.67,few clouds
204,Abha,SA,18.2164,42.5053,71.85,18,20,13.8,few clouds
205,Saldanha,ZA,-33.0117,17.9442,60.85,76,42,9.57,scattered clouds
206,Yar-Sale,RU,66.8333,70.8333,33.76,86,69,7.61,broken clouds
207,Thinadhoo,MV,0.5333,72.9333,81.86,76,99,17.31,overcast clouds
208,Akureyri,IS,65.6835,-18.0878,46.33,49,75,13.8,broken clouds
209,Carutapera,BR,-1.195,-46.02,87.15,57,35,11.25,scattered clouds
210,Shostka,UA,51.863,33.4698,47.35,91,100,8.52,light rain
211,Escanaba,US,45.7453,-87.0646,74.52,63,0,6.91,clear sky
212,Tasiilaq,GL,65.6145,-37.6368,35.76,63,46,4.23,scattered clouds
213,Outjo,NA,-20.1167,16.15,81.32,13,5,16.31,clear sky
214,Poiana Mare,RO,43.9167,23.0667,58.69,50,89,1.3,overcast clouds
215,Beyneu,KZ,45.3167,55.2,58.5,30,49,16.42,scattered clouds
216,Minab,IR,27.1467,57.0801,87.12,69,1,5.28,clear sky
217,Cabedelo,BR,-6.9811,-34.8339,81.27,69,4,14.29,clear sky
218,Otavalo,EC,0.2333,-78.2667,70.02,59,75,4.36,light rain
219,Dakoro,NE,14.5106,6.765,96.67,17,86,5.32,overcast clouds
220,Ornskoldsvik,SE,63.2909,18.7153,49.15,100,0,4.61,clear sky
221,San-Pedro,CI,4.7485,-6.6363,77.43,87,82,6.64,broken clouds
222,Galle,LK,6.0367,80.217,77.81,87,100,12.08,overcast clouds
223,Maloy,NO,61.9353,5.1136,51.53,1,99,23.0,overcast clouds
224,Kulhudhuffushi,MV,6.6221,73.07,81.3,78,96,16.4,overcast clouds
225,Camacha,PT,33.0833,-16.3333,69.22,64,20,13.8,few clouds
226,Treuchtlingen,DE,48.95,10.9167,61.21,89,100,6.67,overcast clouds
227,Pokhara,NP,28.2333,83.9833,66.81,92,100,1.39,overcast clouds
228,Cururupu,BR,-1.8283,-44.8683,86.5,58,46,7.25,scattered clouds
229,Hambantota,LK,6.1241,81.1185,78.96,81,100,17.67,overcast clouds
230,Killybegs,IE,54.6333,-8.45,55.11,72,58,25.41,broken clouds
231,Nchelenge,ZM,-9.3451,28.734,79.48,39,5,2.17,clear sky
232,Maridi,SS,4.9158,29.4742,69.37,89,100,4.21,overcast clouds
233,Vestmanna,FO,62.1564,-7.1664,47.32,76,100,27.63,overcast clouds
234,Karasjok,NO,69.4719,25.5112,38.08,95,100,9.42,overcast clouds
235,Castro,BR,-24.7911,-50.0119,77.02,54,23,5.14,few clouds
236,Hauterive,FR,46.0901,3.4459,75.96,57,0,1.95,clear sky
237,Aksarka,RU,66.5606,67.7975,32.99,91,53,7.65,broken clouds
238,Sandovo,RU,58.4602,36.4128,43.23,95,96,3.42,overcast clouds
239,Buta,CD,2.7858,24.73,72.79,88,49,3.74,scattered clouds
240,Synya,RU,65.3718,58.0387,45.18,80,100,9.26,overcast clouds
241,Pombas,CV,17.1503,-25.0201,82.18,77,96,4.85,overcast clouds
242,Chikwawa,MW,-16.0335,34.8009,88.97,17,0,5.01,clear sky
243,Gravenhurst,CA,44.9168,-79.3663,70.56,60,0,6.91,clear sky
244,Carnarvon,AU,-24.8667,113.6333,63.55,63,15,23.24,few clouds
245,Atar,MR,20.5169,-13.0499,103.05,11,9,19.84,clear sky
246,Grindavik,IS,63.8424,-22.4338,46.87,71,75,16.11,broken clouds
247,Kalmanka,RU,52.8992,83.5433,41.45,64,100,7.76,light rain
248,Asosa,ET,10.0667,34.5333,60.39,95,99,2.98,overcast clouds
249,Elat,IL,29.5581,34.9482,91.24,40,0,9.22,clear sky
250,Maragogi,BR,-9.0122,-35.2225,82.22,66,38,10.65,scattered clouds
251,Gornyy,RU,55.1153,83.9059,38.34,89,100,1.05,overcast clouds
252,Novopokrovka,UA,49.8425,36.5477,49.21,76,85,8.97,overcast clouds
253,Rio Gallegos,AR,-51.6226,-69.2181,55.45,38,75,6.91,broken clouds
254,Petrovskoye,RU,57.0104,39.2693,43.16,93,100,6.73,overcast clouds
255,Breves,BR,-1.6822,-50.4803,96.73,34,16,5.59,few clouds
256,Chicama,PE,-7.8447,-79.1469,61.34,56,43,11.14,scattered clouds
